종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
95570,AJ네트웍스,KOSPI,일반서비스,3830,-25,-0.65,1.73318E+11
6840,AK홀딩스,KOSPI,기타금융,10800,310,2.96,1.43074E+11
27410,BGF,KOSPI,기타금융,3400,50,1.49,3.25437E+11
282330,BGF리테일,KOSPI,유통,104300,-800,-0.76,1.80271E+12
138930,BNK금융지주,KOSPI,기타금융,10490,170,1.65,3.33984E+12
1460,BYC,KOSPI,섬유·의류,27150,350,1.31,1.69583E+11
1465,BYC우,KOSPI,섬유·의류,12530,-30,-0.24,26987740500
1040,CJ,KOSPI,기타금융,127800,18500,16.93,3.72882E+12
79160,CJ CGV,KOSPI,오락·문화,4930,20,0.41,8.16311E+11
00104K,CJ4우(전환),KOSPI,기타금융,97200,8500,9.58,4.10817E+11
120,CJ대한통운,KOSPI,운송·창고,90400,100,0.11,2.06224E+12
11150,CJ씨푸드,KOSPI,음식료·담배,3110,55,1.8,1.11745E+11
11155,CJ씨푸드1우,KOSPI,음식료·담배,15830,210,1.34,3166000000
1045,CJ우,KOSPI,기타금융,65900,4000,6.46,1.48949E+11
97950,CJ제일제당,KOSPI,음식료·담배,250500,0,0,3.77107E+12
97955,CJ제일제당 우,KOSPI,음식료·담배,133700,1400,1.06,1.77478E+11
480,CR홀딩스,KOSPI,비금속,5310,-20,-0.38,2.48989E+11
590,CS홀딩스,KOSPI,기타금융,72100,100,0.14,83238152200
12030,DB,KOSPI,IT 서비스,1266,5,0.4,2.54686E+11
16610,DB금융투자,KOSPI,증권,5900,-10,-0.17,2.50434E+11
5830,DB손해보험,KOSPI,보험,94900,-1200,-1.25,6.71892E+12
990,DB하이텍,KOSPI,전기·전자,44700,850,1.94,1.98462E+12
139130,DGB금융지주,KOSPI,기타금융,8870,30,0.34,1.4759E+12
300,DH오토넥스,KOSPI,전기·전자,1984,0,0,1.616E+11
1530,DI동일,KOSPI,유통,45800,1450,3.27,8.87184E+11
210,DL,KOSPI,화학,35000,-700,-1.96,7.33456E+11
215,DL우,KOSPI,화학,19300,-20,-0.1,32542019500
375500,DL이앤씨,KOSPI,건설,43400,-2000,-4.41,1.6793E+12
37550L,DL이앤씨2우(전환),KOSPI,건설,27650,-550,-1.95,58395445150
37550K,DL이앤씨우,KOSPI,건설,17760,-40,-0.22,37542597600
7340,DN오토모티브,KOSPI,전기·전자,20600,-250,-1.2,1.20532E+12
4840,DRB동일,KOSPI,화학,4245,35,0.83,84602850000
155660,DSR,KOSPI,금속,3825,-35,-0.91,61200000000
69730,DSR제강,KOSPI,금속,3535,50,1.43,50904000000
17860,DS단석,KOSPI,화학,26000,0,0,4.5719E+11
17940,E1,KOSPI,유통,61100,1100,1.83,4.19146E+11
365550,ESR켄달스퀘어리츠,KOSPI,부동산,4785,-5,-0.1,1.01963E+12
383220,F&F,KOSPI,섬유·의류,67200,-1100,-1.61,2.57424E+12
7700,F&F홀딩스,KOSPI,기타금융,12550,40,0.32,4.90885E+11
114090,GKL,KOSPI,오락·문화,10680,-40,-0.37,6.60619E+11
78930,GS,KOSPI,기타금융,36900,150,0.41,3.42858E+12
6360,GS건설,KOSPI,건설,17780,40,0.23,1.52164E+12
1250,GS글로벌,KOSPI,유통,2615,25,0.97,2.15826E+11
7070,GS리테일,KOSPI,유통,14740,-120,-0.81,1.23237E+12
78935,GS우,KOSPI,기타금융,36400,50,0.14,64967666400
499790,GS피앤엘,KOSPI,기타금융,19070,100,0.53,3.78174E+11
12630,HDC,KOSPI,기타금융,14540,-70,-0.48,8.68645E+11
39570,HDC랩스,KOSPI,건설,8720,-50,-0.57,2.2635E+11
89470,HDC현대EP,KOSPI,화학,3605,15,0.42,1.15E+11
294870,HDC현대산업개발,KOSPI,건설,20450,-200,-0.97,1.3478E+12
9540,HD한국조선해양,KOSPI,기타금융,214000,-500,-0.23,1.51454E+13
267250,HD현대,KOSPI,기타금융,74700,-400,-0.53,5.90078E+12
267270,HD현대건설기계,KOSPI,기계·장비,73300,-1300,-1.74,1.3418E+12
443060,HD현대마린솔루션,KOSPI,일반서비스,142700,3000,2.15,6.39713E+12
71970,HD현대마린엔진,KOSPI,기계·장비,28500,-550,-1.89,9.66763E+11
10620,HD현대미포,KOSPI,운송장비·부품,103700,-1300,-1.24,4.142E+12
322000,HD현대에너지솔루션,KOSPI,전기·전자,25900,650,2.57,2.9008E+11
42670,HD현대인프라코어,KOSPI,기계·장비,9480,-350,-3.56,1.82638E+12
267260,HD현대일렉트릭,KOSPI,전기·전자,338500,8000,2.42,1.2202E+13
329180,HD현대중공업,KOSPI,운송장비·부품,304500,-5500,-1.77,2.70314E+13
97230,HJ중공업,KOSPI,건설,7900,-140,-1.74,6.57867E+11
14790,HL D&I,KOSPI,건설,2255,10,0.45,85371145255
3580,HLB글로벌,KOSPI,유통,3885,55,1.44,1.95097E+11
204320,HL만도,KOSPI,운송장비·부품,40850,-650,-1.57,1.9182E+12
60980,HL홀딩스,KOSPI,기타금융,37300,50,0.13,3.50765E+11
11200,HMM,KOSPI,운송·창고,20700,100,0.49,1.82375E+13
35000,HS애드,KOSPI,일반서비스,7270,-10,-0.14,1.20445E+11
